recall_at	dataset	method	param_name	param_value	recall	qps	source
50	fever	hnsw_sindi	point	250	0.96422	66.5112	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/hnsw_sindi.txt
50	fever	fhg	ef_search	50	0.65332	258.504	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/fhg.txt
50	fever	fhg	ef_search	100	0.82144	144.006	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/fhg.txt
50	fever	fhg	ef_search	150	0.8832	102.965	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/fhg.txt
50	fever	fhg	ef_search	250	0.92384	67.4434	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/fhg.txt
50	fever	fhg	ef_search	500	0.95266	37.5511	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/fhg.txt
50	fever	uhg	ef_search	50	0.86758	197.906	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/uhg.txt
50	fever	uhg	ef_search	100	0.9375	118.259	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/uhg.txt
50	fever	uhg	ef_search	150	0.95812	85.3877	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/uhg.txt
50	fever	uhg	ef_search	250	0.97452	54.357	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/uhg.txt
50	fever	uhg	ef_search	500	0.98822	29.2257	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/fever/uhg.txt
50	dbpedia-entity	hnsw	point	50	0.566296	432.078	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw.txt
50	dbpedia-entity	hnsw	point	100	0.723512	243.357	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw.txt
50	dbpedia-entity	hnsw	point	150	0.790107	169.601	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw.txt
50	dbpedia-entity	hnsw	point	250	0.850707	105.997	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw.txt
50	dbpedia-entity	hnsw	point	400	0.890835	69.8938	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw.txt
50	dbpedia-entity	hnsw	point	500	0.905311	56.9531	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw.txt
50	dbpedia-entity	sindi	point	500	0.602184	391.816	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/sindi.txt
50	dbpedia-entity	sindi	point	750	0.642827	304.253	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/sindi.txt
50	dbpedia-entity	sindi	point	1000	0.668437	248.302	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/sindi.txt
50	dbpedia-entity	sindi	point	1500	0.704283	182.287	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/sindi.txt
50	dbpedia-entity	sindi	point	2500	0.746938	119.16	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/sindi.txt
50	dbpedia-entity	sindi	point	5000	0.798201	65.1253	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/sindi.txt
50	dbpedia-entity	hnsw_sindi	point	50	0.716403	222.815	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
50	dbpedia-entity	hnsw_sindi	point	75	0.810835	173.735	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
50	dbpedia-entity	hnsw_sindi	point	100	0.857302	140.97	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
50	dbpedia-entity	hnsw_sindi	point	150	0.905953	127.093	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
50	dbpedia-entity	hnsw_sindi	point	250	0.943255	84.0864	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
50	dbpedia-entity	fhg	ef_search	50	0.790193	335.74	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/fhg.txt
50	dbpedia-entity	fhg	ef_search	100	0.855546	196.765	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/fhg.txt
50	dbpedia-entity	fhg	ef_search	150	0.884625	141.184	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/fhg.txt
50	dbpedia-entity	fhg	ef_search	250	0.918501	91.8559	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/fhg.txt
50	dbpedia-entity	fhg	ef_search	500	0.952291	49.9848	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/fhg.txt
50	dbpedia-entity	uhg	ef_search	50	0.855418	301.384	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/uhg.txt
50	dbpedia-entity	uhg	ef_search	100	0.92424	174.063	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/uhg.txt
50	dbpedia-entity	uhg	ef_search	150	0.947495	122.789	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/uhg.txt
50	dbpedia-entity	uhg	ef_search	250	0.966895	77.7573	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/uhg.txt
50	dbpedia-entity	uhg	ef_search	500	0.981199	40.7946	/tbase-project/vsag/scripts/UHG/results_50/mixed_alpha/dbpedia-entity/uhg.txt
100	nq	hnsw	point	100	0.53882	298.753	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
100	nq	hnsw	point	200	0.69836	166.625	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
100	nq	hnsw	point	300	0.76834	117.469	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
100	nq	hnsw	point	500	0.83628	75.1309	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
100	nq	hnsw	point	800	0.88376	49.6088	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
100	nq	hnsw	point	1000	0.90231	40.8505	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/nq/hnsw.txt
