recall_at	dataset	method	point	recall	qps
20	fever	sindi	600	0.9251	201.506
20	fever	sindi	1000	0.9455	157.079
20	fever	sindi	2000	0.9638	101.45
20	fever	hnsw_sindi	20	0.762	208.155
20	fever	hnsw_sindi	30	0.8535	191.849
20	fever	hnsw_sindi	40	0.8947	187.625
20	fever	hnsw_sindi	60	0.93445	158.956
20	fever	hnsw_sindi	100	0.96675	122.646
20	fever	hnsw_sindi	200	0.98575	78.6583
20	fever	fhg	20	0.39435	596.188
20	fever	fhg	40	0.63435	289.46
20	fever	fhg	60	0.7558	199.241
20	fever	fhg	100	0.8616	123.832
20	fever	fhg	160	0.9151	90.9422
20	fever	fhg	200	0.9294	82.264
20	fever	uhg	20	0.84215	323.504
20	fever	uhg	40	0.9159	226.071
20	fever	uhg	60	0.9423	173.516
20	fever	uhg	100	0.96455	118.578
20	fever	uhg	160	0.97855	78.867
20	fever	uhg	200	0.98315	55.0403
50	nq	hnsw	50	0.54804	520.448
50	nq	hnsw	100	0.70678	295.307
50	nq	hnsw	150	0.77762	211.505
50	nq	hnsw	250	0.84352	137.04
50	nq	hnsw	400	0.88884	90.9011
50	nq	hnsw	500	0.9057	74.7139
50	nq	sindi	500	0.63462	308.031
50	nq	sindi	750	0.67504	245.843
50	nq	sindi	1000	0.70234	206.025
50	nq	sindi	1500	0.73826	155.281
50	nq	sindi	2500	0.77726	103.657
50	nq	sindi	5000	0.82972	56.9258
50	nq	hnsw_sindi	50	0.7221	195.906
50	nq	hnsw_sindi	75	0.81942	162.165
50	nq	hnsw_sindi	100	0.86792	143.042
50	nq	hnsw_sindi	150	0.91886	108.543
50	nq	hnsw_sindi	250	0.9565	76.2824
50	nq	fhg	50	0.78128	371.804
50	nq	fhg	100	0.86546	234.871
50	nq	fhg	150	0.9	173.506
50	nq	fhg	250	0.92878	116.288
50	nq	fhg	500	0.95794	64.8434
50	nq	uhg	50	0.87174	298.348
50	nq	uhg	100	0.92958	183.256
50	nq	uhg	150	0.95356	133.681
50	nq	uhg	250	0.97232	87.4451
50	nq	uhg	500	0.98728	48.2053
50	hotpotqa	hnsw	50	0.468	368.721
50	hotpotqa	hnsw	100	0.6296	203.912
50	hotpotqa	hnsw	150	0.7101	143.778
50	hotpotqa	hnsw	250	0.7925	91.4871
50	hotpotqa	hnsw	400	0.8508	60.0392
50	hotpotqa	hnsw	500	0.87352	49.3671
50	hotpotqa	sindi	500	0.75534	239.196
50	hotpotqa	sindi	750	0.79624	199.095
50	hotpotqa	sindi	1000	0.82152	170.45
50	hotpotqa	sindi	1500	0.85152	132.888
50	hotpotqa	sindi	2500	0.8855	92.4968
50	hotpotqa	sindi	5000	0.92238	52.4586
50	hotpotqa	hnsw_sindi	50	0.7041	181.011
50	hotpotqa	hnsw_sindi	75	0.80654	148.114
50	hotpotqa	hnsw_sindi	100	0.86256	126.877
50	hotpotqa	hnsw_sindi	150	0.91964	98.4851
50	hotpotqa	hnsw_sindi	250	0.96014	69.0588
50	hotpotqa	fhg	50	0.73258	258.818
50	hotpotqa	fhg	100	0.82122	158.38
50	hotpotqa	fhg	150	0.86682	115.691
50	hotpotqa	fhg	250	0.90728	76.5303
50	hotpotqa	fhg	500	0.94646	42.1894
50	hotpotqa	uhg	50	0.83108	207.108
50	hotpotqa	uhg	100	0.91268	126.26
50	hotpotqa	uhg	150	0.94274	91.4257
50	hotpotqa	uhg	250	0.9659	59.3488
50	hotpotqa	uhg	500	0.98422	32.425
50	dbpedia-entity	hnsw	50	0.568051	433.056
50	dbpedia-entity	hnsw	100	0.728094	237.179
50	dbpedia-entity	hnsw	150	0.797045	166.517
50	dbpedia-entity	hnsw	250	0.859358	105.528
50	dbpedia-entity	hnsw	400	0.8994	68.9432
50	dbpedia-entity	hnsw	500	0.913319	56.1587
50	dbpedia-entity	sindi	500	0.602612	390.853
50	dbpedia-entity	sindi	750	0.643555	303.369
50	dbpedia-entity	sindi	1000	0.669036	247.648
50	dbpedia-entity	sindi	1500	0.704625	180.357
50	dbpedia-entity	sindi	2500	0.747366	119.171
50	dbpedia-entity	sindi	5000	0.799229	64.9649
50	dbpedia-entity	hnsw_sindi	50	0.716488	280.476
50	dbpedia-entity	hnsw_sindi	75	0.81242	216.957
50	dbpedia-entity	hnsw_sindi	100	0.859101	178.266
50	dbpedia-entity	hnsw_sindi	150	0.908737	131.966
50	dbpedia-entity	hnsw_sindi	250	0.946381	87.8622
50	dbpedia-entity	fhg	50	0.797388	334.088
50	dbpedia-entity	fhg	100	0.858929	194.598
50	dbpedia-entity	fhg	150	0.885782	141.284
50	dbpedia-entity	fhg	250	0.922912	91.0731
50	dbpedia-entity	fhg	500	0.954818	49.2727
50	dbpedia-entity	uhg	50	0.853362	248.368
50	dbpedia-entity	uhg	100	0.920557	148.917
50	dbpedia-entity	uhg	150	0.945525	104.631
