dataset	method	param_name	param_value	recall	qps	source
fever	sindi	point	10000	0.94794	27.5027	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/sindi.txt
fever	hnsw_sindi	point	100	0.74687	123.046	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw_sindi.txt
fever	hnsw_sindi	point	150	0.83814	95.6923	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw_sindi.txt
fever	hnsw_sindi	point	200	0.88538	78.7141	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw_sindi.txt
fever	hnsw_sindi	point	300	0.93057	58.414	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw_sindi.txt
fever	hnsw_sindi	point	500	0.96401	38.8712	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/hnsw_sindi.txt
fever	fhg	ef_search	100	0.77491	143.736	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/fhg.txt
fever	fhg	ef_search	200	0.87606	80.8145	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/fhg.txt
fever	fhg	ef_search	300	0.90863	57.8599	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/fhg.txt
fever	fhg	ef_search	500	0.93402	37.5565	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/fhg.txt
fever	fhg	ef_search	1000	0.9569	20.6222	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/fhg.txt
fever	uhg	ef_search	100	0.87909	118.287	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/uhg.txt
fever	uhg	ef_search	200	0.94115	65.587	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/uhg.txt
fever	uhg	ef_search	300	0.9613	46.5348	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/uhg.txt
fever	uhg	ef_search	500	0.97815	29.2625	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/uhg.txt
fever	uhg	ef_search	1000	0.98954	15.6073	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/fever/uhg.txt
dbpedia-entity	hnsw	point	100	0.566467	242.058	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	200	0.729165	130.406	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	300	0.794561	90.4613	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	500	0.853105	56.7988	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	800	0.89576	37.0808	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	hnsw	point	1000	0.911649	30.1776	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw.txt
dbpedia-entity	sindi	point	1000	0.605675	246.906	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	1500	0.646788	182.305	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	2000	0.674754	143.738	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	3000	0.714026	101.857	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	5000	0.758758	64.9085	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	sindi	point	10000	0.806488	34.9422	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/sindi.txt
dbpedia-entity	hnsw_sindi	point	100	0.723812	179.747	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	150	0.822741	132.945	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	200	0.871285	105.94	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	300	0.917859	75.5705	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	hnsw_sindi	point	500	0.951071	49.2759	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/hnsw_sindi.txt
dbpedia-entity	fhg	ef_search	100	0.814261	195.416	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	200	0.878458	111.121	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	300	0.905161	78.7148	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	500	0.93651	50.0052	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	fhg	ef_search	1000	0.959615	26.9959	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/fhg.txt
dbpedia-entity	uhg	ef_search	100	0.875717	173.436	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	200	0.937066	94.2439	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	300	0.955974	65.4797	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	500	0.971734	40.7898	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/uhg.txt
dbpedia-entity	uhg	ef_search	1000	0.98546	21.4354	/tbase-project/vsag/scripts/UHG/results/mixed_alpha/dbpedia-entity/uhg.txt
