recall_at	dataset	method	point	recall	qps
200	msmarco	hnsw_sindi	300	0.86615	80.0158
200	msmarco	hnsw_sindi	400	0.90541	65.4882
200	msmarco	hnsw_sindi	600	0.942635	50.2446
200	msmarco	hnsw_sindi	1000	0.96961	33.0517
200	msmarco	fhg	200	0.785845	182.33
200	msmarco	fhg	400	0.867225	107.302
200	msmarco	fhg	600	0.899375	76.2267
200	msmarco	fhg	1000	0.928925	49.2362
200	msmarco	fhg	2000	0.951255	26.5579
200	msmarco	uhg	200	0.88421	162.455
200	msmarco	uhg	400	0.94968	91.2042
200	msmarco	uhg	600	0.965455	62.9231
200	msmarco	uhg	1000	0.977655	39.0602
200	msmarco	uhg	2000	0.98761	20.2046
200	dbpedia-entity	hnsw	200	0.566638	127.247
200	dbpedia-entity	hnsw	400	0.732206	67.5429
200	dbpedia-entity	hnsw	600	0.799229	46.7736
200	dbpedia-entity	hnsw	1000	0.860375	23.9328
200	dbpedia-entity	hnsw	1600	0.901295	13.6788
200	dbpedia-entity	hnsw	2000	0.916199	10.9918
200	dbpedia-entity	sindi	2000	0.609625	142.018
200	dbpedia-entity	sindi	3000	0.655439	100.548
200	dbpedia-entity	sindi	4000	0.685332	78.0033
200	dbpedia-entity	sindi	6000	0.723929	54.5681
200	dbpedia-entity	sindi	10000	0.76637	34.3185
200	dbpedia-entity	sindi	20000	0.809283	18.6545
200	dbpedia-entity	hnsw_sindi	200	0.732495	104.78
200	dbpedia-entity	hnsw_sindi	300	0.832602	74.2174
200	dbpedia-entity	hnsw_sindi	400	0.880471	58.4224
200	dbpedia-entity	hnsw_sindi	600	0.925653	41.2175
200	dbpedia-entity	hnsw_sindi	1000	0.959347	26.2067
200	dbpedia-entity	fhg	200	0.837388	81.4923
200	dbpedia-entity	fhg	400	0.900128	44.49
200	dbpedia-entity	fhg	600	0.924786	31.0872
200	dbpedia-entity	fhg	1000	0.945792	19.9016
200	dbpedia-entity	fhg	2000	0.965054	10.3868
200	dbpedia-entity	uhg	200	0.892291	92.2457
200	dbpedia-entity	uhg	400	0.946178	48.2076
200	dbpedia-entity	uhg	600	0.963469	33.4684
200	dbpedia-entity	uhg	1000	0.978233	20.7456
200	dbpedia-entity	uhg	2000	0.989957	10.988
200	fever	hnsw	200	0.483595	108.342
200	fever	hnsw	400	0.635525	57.7978
200	fever	hnsw	600	0.709675	39.9126
200	fever	hnsw	1000	0.785705	25.1827
200	fever	hnsw	1600	0.842925	16.4554
200	fever	hnsw	2000	0.86522	13.4756
200	fever	sindi	2000	0.787135	84.7183
200	fever	sindi	3000	0.825365	64.1566
200	fever	sindi	4000	0.849035	46.3602
200	fever	sindi	6000	0.877965	32.847
200	fever	sindi	10000	0.90834	21.0639
200	fever	sindi	20000	0.939535	11.6142
200	fever	hnsw_sindi	200	0.73548	54.6214
200	fever	hnsw_sindi	300	0.830515	40.3605
200	fever	hnsw_sindi	400	0.88002	35.6039
200	fever	hnsw_sindi	600	0.927835	30.3894
200	fever	hnsw_sindi	1000	0.96347	21.2112
200	fever	fhg	200	0.82353	79.4975
200	fever	fhg	400	0.890385	44.4283
200	fever	fhg	600	0.91629	31.5383
200	fever	fhg	1000	0.93988	20.3174
200	fever	fhg	2000	0.962025	11.2415
200	fever	uhg	200	0.88503	64.7531
200	fever	uhg	400	0.94561	34.65
200	fever	uhg	600	0.96531	23.9627
200	fever	uhg	1000	0.98031	15.1406
200	fever	uhg	2000	0.991405	8.17361
